id,attn1,attn2,practice_sim_1,practice_sim_2,practice_sim_3,practice_sim_4,pair,rating_num,order,q1,q2,q1_program,q2_program,q1_standard,q2_standard,similarity
2,1,1,1,1,4,4,80,9,12,How many monsters have round heads?,Is the red monster the same as the purple monster with two legs and a square head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (legs r) 2) (== (shape r) Square)),How many monsters have a circle head?,Does the red monster have two legs and a square head?,2
2,1,1,1,1,4,4,97,10,12,How many legs does the purple monster have?,What head does a red monster have?,(legs p),(shape r),How many legs does the purple monster have?,What shape is the red monster's head?,1
2,1,1,1,1,4,4,36,11,12,Do they both have circle heads?,Do all the monsters have a circle head?,(and (== (shape b) Circle) (== (shape r) Circle)),(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do the blue monster and the red monster both have a circle head?,Do all the monsters have a circle head?,5
2,1,1,1,1,4,4,16,12,12,How many monsters have square heads?,Do all the monsters have the same amount of legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),How many monsters have a square head?,Do all the monsters have the same number of legs?,1
2,1,1,1,1,4,4,56,13,12,What is the red monster's head shape is it a circle or a square?,How many monsters have three legs?,(shape r),(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),What shape is the red monster's head?,How many monsters have three legs?,1
2,1,1,1,1,4,4,55,14,12,How many monsters have circle heads?,Does the red monster have a square head and the purple monster a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (shape r) Square) (== (shape p) Circle)),How many monsters have a circle head?,Does the red monster have a square head and the purple monster have a circle head?,4
2,1,1,1,1,4,4,3,15,12,Do all of the monsters have circle heads?,What shape is the blue monsters head?,(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(shape b),Do all the monsters have a circle head?,What shape is the blue monster's head?,4
3,1,1,1,1,5,3,93,1,12,How many monsters have one leg?,How many square heads are there in all?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have one leg?,How many monsters have a square head?,2
3,1,1,1,1,5,3,42,2,12,What is the shape of the red monster's head?,Does the purple monster have two feet?,(shape r),(== (legs p) 2),What shape is the red monster's head?,Does the purple monster have two legs?,1
3,1,1,1,1,5,3,29,3,21,How many monsters have circle heads?,How many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have a circle head?,How many monsters have a square head?,5
3,1,1,1,1,5,3,54,4,12,How many legs does the red monster have?,How many monsters have a circle head?,(legs r),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),How many legs does the red monster have?,How many monsters have a circle head?,2
3,1,1,1,1,5,3,71,5,21,Are the purple and blue monsters head the same shape?,Is the blue monsters head the same shape as the purple monster's head?,(== (shape p) (shape b)),(== (shape b) (shape p)),Is the purple monster's head the same shape as the blue monster's head?,Is the blue monster's head the same shape as the purple monster's head?,4
3,1,1,1,1,5,3,95,6,12,Do the square headed monsters have more than one leg?,Do any of the monsters have a circle head?,(all (map (lambda x0 (> (legs x0) 1)) (shapeObjects Square))),(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do all the square-headed monsters have more than one leg?,Do any of the monsters have a circle head?,1
3,1,1,1,1,5,3,55,7,21,How many monsters have circle heads?,Does the red monster have a square head and the purple monster a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (shape r) Square) (== (shape p) Circle)),How many monsters have a circle head?,Does the red monster have a square head and the purple monster have a circle head?,4
3,1,1,1,1,5,3,2,8,12,How many monsters have square heads?,How many monsters have more than two legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),How many monsters have a square head?,How many monsters have three legs?,2
3,1,1,1,1,5,3,52,9,21,How many legs does the purple monster have?,Do the red and blue monster's have the same shape head as the purple monster?,(legs p),(=== (map (lambda x0 (shape x0)) (set b r p))),How many legs does the purple monster have?,Do all the monsters have the same head shape?,1
3,1,1,1,1,5,3,18,10,12,How many monsters have three legs?,Do all monsters with three legs have square heads?,(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),(all (map (lambda x0 (== (shape x0) Square)) (legsObjects 3))),How many monsters have three legs?,Do all the three-legged monsters have a square head?,4
3,1,1,1,1,5,3,80,11,12,How many monsters have round heads?,Is the red monster the same as the purple monster with two legs and a square head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (legs r) 2) (== (shape r) Square)),How many monsters have a circle head?,Does the red monster have two legs and a square head?,2
3,1,1,1,1,5,3,5,12,21,What's the blue monster head shape?,How many monsters have square heads?,(shape b),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),What shape is the blue monster's head?,How many monsters have a square head?,5
3,1,1,1,1,5,3,98,13,12,How many monsters have a circle head with more than one leg?,Does the red monster have three legs?,(++ (map (lambda x0 (and (> (legs x0) 1) (== (shape x0) Circle))) (set b r p))),(== (legs r) 3),How many monsters have more than one leg and a circle head?,Does the red monster have three legs?,4
3,1,1,1,1,5,3,56,14,12,What is the red monster's head shape is it a circle or a square?,How many monsters have three legs?,(shape r),(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),What shape is the red monster's head?,How many monsters have three legs?,2
3,1,1,1,1,5,3,3,15,21,Do all of the monsters have circle heads?,What shape is the blue monsters head?,(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(shape b),Do all the monsters have a circle head?,What shape is the blue monster's head?,5
4,1,1,1,NA,2,4,66,1,12,Does any of the monsters have circle heads?,Does they all have the same number of legs?,(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),Do any of the monsters have a circle head?,Do all the monsters have the same number of legs?,1
4,1,1,1,NA,2,4,30,2,21,How many legs does the blue monster have?,Does the purple monster have less than three legs?,(legs b),(< (legs p) 3),How many legs does the blue monster have?,Does the purple monster have less than three legs?,2
4,1,1,1,NA,2,4,89,3,12,How many legs does the red monster have?,What shape head does the purple monster have?,(legs r),(shape p),How many legs does the red monster have?,What shape is the purple monster's head?,1
4,1,1,1,NA,2,4,69,4,21,Does the purple monster have two legs?,How many legs do all the monsters have combined?,(== (legs p) 2),(++ (map (lambda x0 (legs x0)) (set b r p))),Does the purple monster have two legs?,How many legs do all the monsters have combined together?,4
4,1,1,1,NA,2,4,79,5,21,How many square heads are there?,Does the red monster have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(== (shape r) Square),How many monsters have a square head?,Does the red monster have a square head?,5
4,1,1,1,NA,2,4,14,6,12,The blue monster have the square?,Does the purple monster have two legs?,(== (shape b) Square),(== (legs p) 2),Does the blue monster have a square head?,Does the purple monster have two legs?,2
4,1,1,1,NA,2,4,16,7,12,How many monsters have square heads?,Do all the monsters have the same amount of legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),How many monsters have a square head?,Do all the monsters have the same number of legs?,1
4,1,1,1,NA,2,4,48,8,21,"Does the purple one have one leg, and the blue one have a square head, and and it has two legs and the red one has a circle head and it has three legs?",How many monsters have two legs?,(and (and (and (== (legs b) 2) (== (shape b) Square)) (and (== (legs r) 3) (== (shape r) Circle))) (== (legs p) 1)),(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),"Does the blue monster have two legs and a square head, the red monster have three legs and a circle head, and the purple monster have one leg?",How many monsters have two legs?,4
4,1,1,1,NA,2,4,85,9,21,Does the blue monster have the same amount of legs as the purple and red monster?,Do the blue and red look the same?,(=== (map (lambda x0 (legs x0)) (set b r p))),(and (== (legs b) (legs r)) (== (shape b) (shape r))),Do all the monsters have the same number of legs?,Does the blue monster have the same number of legs and head shape as the red monster?,4
4,1,1,1,NA,2,4,47,10,12,How many of them have square heads?,Do any of them have three legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(any (map (lambda x0 (== (legs x0) 3)) (set b r p))),How many monsters have a square head?,Do any of the monsters have three legs?,2
4,1,1,1,NA,2,4,61,11,21,Does the head shape have corners?,How many monsters have a circle head and two legs?,(== (shape r) Square),(++ (map (lambda x0 (and (== (legs x0) 2) (== (shape x0) Circle))) (set b r p))),Does the red monster have a square head?,How many monsters have two legs and a circle head?,3
4,1,1,1,NA,2,4,36,12,12,Do they both have circle heads?,Do all the monsters have a circle head?,(and (== (shape b) Circle) (== (shape r) Circle)),(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do the blue monster and the red monster both have a circle head?,Do all the monsters have a circle head?,6
4,1,1,1,NA,2,4,81,13,12,Does the purple monster have three legs?,Does the red monster have a square head and three legs?,(== (legs p) 3),(and (== (legs r) 3) (== (shape r) Square)),Does the purple monster have three legs?,Does the red monster have three legs and a square head?,3
4,1,1,1,NA,2,4,5,14,21,What's the blue monster head shape?,How many monsters have square heads?,(shape b),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),What shape is the blue monster's head?,How many monsters have a square head?,4
4,1,1,1,NA,2,4,7,15,21,Do most of the monsters in the box have square or round heads?,Does the blue monster have a square head?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(== (shape b) Square),Are there more monsters with square heads or circle heads?,Does the blue monster have a square head?,4
5,1,1,2,2,5,4,7,1,21,Do most of the monsters in the box have square or round heads?,Does the blue monster have a square head?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(== (shape b) Square),Are there more monsters with square heads or circle heads?,Does the blue monster have a square head?,3
5,1,1,2,2,5,4,52,2,21,How many legs does the purple monster have?,Do the red and blue monster's have the same shape head as the purple monster?,(legs p),(=== (map (lambda x0 (shape x0)) (set b r p))),How many legs does the purple monster have?,Do all the monsters have the same head shape?,2
5,1,1,2,2,5,4,100,3,21,Does the purple monster have two legs?,What shape is the red monsters head?,(== (legs p) 2),(shape r),Does the purple monster have two legs?,What shape is the red monster's head?,1
5,1,1,2,2,5,4,91,4,12,Do all the monsters have the same shape head?,Is the red one circle?,(=== (map (lambda x0 (shape x0)) (set b r p))),(== (shape r) Circle),Do all the monsters have the same head shape?,Does the red monster have a circle head?,2
5,1,1,2,2,5,4,74,5,12,How many legs does the purple monster have?,Does the purple monster have two legs?,(legs p),(== (legs p) 2),How many legs does the purple monster have?,Does the purple monster have two legs?,6
5,1,1,2,2,5,4,1,6,12,How many legs does purple have?,How many monsters have one foots?,(legs p),(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),How many legs does the purple monster have?,How many monsters have one leg?,4
5,1,1,2,2,5,4,41,7,21,How many monsters have circle heads?,How many square heads are there?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have a circle head?,How many monsters have a square head?,4
5,1,1,2,2,5,4,2,8,12,How many monsters have square heads?,How many monsters have more than two legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),How many monsters have a square head?,How many monsters have three legs?,2
5,1,1,2,2,5,4,96,9,12,How many monsters have circle heads?,How many monsters have the a square head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have a circle head?,How many monsters have a square head?,5
5,1,1,2,2,5,4,80,10,12,How many monsters have round heads?,Is the red monster the same as the purple monster with two legs and a square head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (legs r) 2) (== (shape r) Square)),How many monsters have a circle head?,Does the red monster have two legs and a square head?,2
5,1,1,2,2,5,4,85,11,21,Does the blue monster have the same amount of legs as the purple and red monster?,Do the blue and red look the same?,(=== (map (lambda x0 (legs x0)) (set b r p))),(and (== (legs b) (legs r)) (== (shape b) (shape r))),Do all the monsters have the same number of legs?,Does the blue monster have the same number of legs and head shape as the red monster?,2
5,1,1,2,2,5,4,92,12,12,Do all monsters with two legs have a circle heads?,How many monsters have two legs?,(all (map (lambda x0 (== (shape x0) Circle)) (legsObjects 2))),(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),Do all the two-legged monsters have a circle head?,How many monsters have two legs?,3
5,1,1,2,2,5,4,64,13,21,How many monsters have one leg?,How many monsters in the box have a round head?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),How many monsters have one leg?,How many monsters have a circle head?,3
5,1,1,2,2,5,4,28,14,12,How many legs does the purple monster have?,Does the blue monster have a circle head?,(legs p),(== (shape b) Circle),How many legs does the purple monster have?,Does the blue monster have a circle head?,2
5,1,1,2,2,5,4,12,15,21,Does the red monster have one leg?,How many legs does the purple monster have?,(== (legs r) 1),(legs p),Does the red monster have one leg?,How many legs does the purple monster have?,4
6,1,1,1,1,5,3,78,1,12,Do the monster's share the same number of legs?,How many monsters have a circle head?,(=== (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do all the monsters have the same number of legs?,How many monsters have a circle head?,1
6,1,1,1,1,5,3,84,2,21,Do the red monster and the blue monster have the same head?,How many legs does the red monster have?,(== (shape r) (shape b)),(legs r),Is the red monster's head the same shape as the blue monster's head?,How many legs does the red monster have?,2
6,1,1,1,1,5,3,94,3,12,How many legs does the purple monster have?,How many monsters have square heads?,(legs p),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many legs does the purple monster have?,How many monsters have a square head?,1
6,1,1,1,1,5,3,68,4,21,Does any of the monsters have a square head?,Are all the heads the same?,(any (map (lambda x0 (== (shape x0) Square)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),Do any of the monsters have a square head?,Do all the monsters have the same head shape?,3
6,1,1,1,1,5,3,82,5,12,Is the red monster's head a square or a circle?,How many legs do the monsters have combined?,(shape r),(++ (map (lambda x0 (legs x0)) (set b r p))),What shape is the red monster's head?,How many legs do all the monsters have combined together?,1
6,1,1,1,1,5,3,89,6,12,How many legs does the red monster have?,What shape head does the purple monster have?,(legs r),(shape p),How many legs does the red monster have?,What shape is the purple monster's head?,2
6,1,1,1,1,5,3,45,7,12,How many monsters have a plural amount of legs?,Does the red monster have a circle head?,(++ (map (lambda x0 (> (legs x0) 1)) (set b r p))),(== (shape r) Circle),How many monsters have more than one leg?,Does the red monster have a circle head?,1
6,1,1,1,1,5,3,53,8,12,What is total number of legs between the blue and purple monster?,What shape is the purple monster's head?,(+ (legs b) (legs p)),(shape p),How many legs do the blue and purple monsters have combined?,What shape is the purple monster's head?,2
6,1,1,1,1,5,3,99,9,21,How many legs does the red monster have?,Does the red monster have the same number of legs as the blue monster?,(legs r),(== (legs r) (legs b)),How many legs does the red monster have?,Does the red monster have the same number of legs as the blue monster?,4
6,1,1,1,1,5,3,42,10,12,What is the shape of the red monster's head?,Does the purple monster have two feet?,(shape r),(== (legs p) 2),What shape is the red monster's head?,Does the purple monster have two legs?,2
6,1,1,1,1,5,3,80,11,12,How many monsters have round heads?,Is the red monster the same as the purple monster with two legs and a square head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (legs r) 2) (== (shape r) Square)),How many monsters have a circle head?,Does the red monster have two legs and a square head?,1
6,1,1,1,1,5,3,100,12,12,Does the purple monster have two legs?,What shape is the red monsters head?,(== (legs p) 2),(shape r),Does the purple monster have two legs?,What shape is the red monster's head?,1
6,1,1,1,1,5,3,32,13,12,How many legs do they have combined?,Is the purple monster's head the same shape as the blue's head?,(++ (map (lambda x0 (legs x0)) (set b r p))),(== (shape p) (shape b)),How many legs do all the monsters have combined together?,Is the purple monster's head the same shape as the blue monster's head?,1
6,1,1,1,1,5,3,62,14,12,How many have square heads?,Does the red or blue monster also have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(or (== (shape r) Square) (== (shape b) Square)),How many monsters have a square head?,Does either the red monster or the blue monster have a square head?,4
6,1,1,1,1,5,3,5,15,21,What's the blue monster head shape?,How many monsters have square heads?,(shape b),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),What shape is the blue monster's head?,How many monsters have a square head?,3
7,1,1,3,2,5,4,65,1,12,How many monsters have a circle head?,How many legs does the purple monster have?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(legs p),How many monsters have a circle head?,How many legs does the purple monster have?,2
7,1,1,3,2,5,4,18,2,21,How many monsters have three legs?,Do all monsters with three legs have square heads?,(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),(all (map (lambda x0 (== (shape x0) Square)) (legsObjects 3))),How many monsters have three legs?,Do all the three-legged monsters have a square head?,4
7,1,1,3,2,5,4,11,3,12,What shape is the blue monster's head?,How many monsters have two legs?,(shape b),(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),What shape is the blue monster's head?,How many monsters have two legs?,2
7,1,1,3,2,5,4,75,4,12,Do the red and blue monsters have the same shape of the head?,Do any of the monsters have three legs?,(== (shape r) (shape b)),(any (map (lambda x0 (== (legs x0) 3)) (set b r p))),Is the red monster's head the same shape as the blue monster's head?,Do any of the monsters have three legs?,2
7,1,1,3,2,5,4,88,5,21,What is the shape of the red monster's head?,Does the red monster have three legs?,(shape r),(== (legs r) 3),What shape is the red monster's head?,Does the red monster have three legs?,4
7,1,1,3,2,5,4,85,6,12,Does the blue monster have the same amount of legs as the purple and red monster?,Do the blue and red look the same?,(=== (map (lambda x0 (legs x0)) (set b r p))),(and (== (legs b) (legs r)) (== (shape b) (shape r))),Do all the monsters have the same number of legs?,Does the blue monster have the same number of legs and head shape as the red monster?,4
7,1,1,3,2,5,4,59,7,21,What shape is the red monster's head?,Do the red and blue monsters have the same head shape as the purple monster?,(shape r),(=== (map (lambda x0 (shape x0)) (set b r p))),What shape is the red monster's head?,Do all the monsters have the same head shape?,4
7,1,1,3,2,5,4,78,8,21,Do the monster's share the same number of legs?,How many monsters have a circle head?,(=== (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do all the monsters have the same number of legs?,How many monsters have a circle head?,2
7,1,1,3,2,5,4,36,9,21,Do they both have circle heads?,Do all the monsters have a circle head?,(and (== (shape b) Circle) (== (shape r) Circle)),(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do the blue monster and the red monster both have a circle head?,Do all the monsters have a circle head?,5
7,1,1,3,2,5,4,100,10,21,Does the purple monster have two legs?,What shape is the red monsters head?,(== (legs p) 2),(shape r),Does the purple monster have two legs?,What shape is the red monster's head?,2
7,1,1,3,2,5,4,71,11,21,Are the purple and blue monsters head the same shape?,Is the blue monsters head the same shape as the purple monster's head?,(== (shape p) (shape b)),(== (shape b) (shape p)),Is the purple monster's head the same shape as the blue monster's head?,Is the blue monster's head the same shape as the purple monster's head?,5
7,1,1,3,2,5,4,67,12,12,Is the purple monsters head a circle?,How many monsters in the box have three legs?,(== (shape p) Circle),(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),Does the purple monster have a circle head?,How many monsters have three legs?,2
7,1,1,3,2,5,4,41,13,21,How many monsters have circle heads?,How many square heads are there?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have a circle head?,How many monsters have a square head?,6
7,1,1,3,2,5,4,90,14,21,How many legs of the purple monster?,How many legs are there combined together?,(legs p),(++ (map (lambda x0 (legs x0)) (set b r p))),How many legs does the purple monster have?,How many legs do all the monsters have combined together?,4
7,1,1,3,2,5,4,42,15,12,What is the shape of the red monster's head?,Does the purple monster have two feet?,(shape r),(== (legs p) 2),What shape is the red monster's head?,Does the purple monster have two legs?,2
8,1,1,1,1,3,2,52,1,12,How many legs does the purple monster have?,Do the red and blue monster's have the same shape head as the purple monster?,(legs p),(=== (map (lambda x0 (shape x0)) (set b r p))),How many legs does the purple monster have?,Do all the monsters have the same head shape?,1
8,1,1,1,1,3,2,33,2,21,How many monsters have the same number of legs as the purple monster?,Does the red monster have one leg?,(++ (map (lambda x0 (== (legs x0) (legs p))) (set b r p))),(== (legs r) 1),How many monsters have the same number of legs as the purple monster?,Does the red monster have one leg?,1
8,1,1,1,1,3,2,70,3,12,Does the purple monster have a square head?,Is the purple monster one leg?,(== (shape p) Square),(== (legs p) 1),Does the purple monster have a square head?,Does the purple monster have one leg?,2
8,1,1,1,1,3,2,73,4,12,Does the red monster have the same head as the purple monster?,How many monsters have one leg?,(== (shape r) (shape p)),(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),Is the red monster's head the same shape as the purple monster's head?,How many monsters have one leg?,1
8,1,1,1,1,3,2,21,5,21,How many legs are there total?,How many monsters have a square head?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many legs do all the monsters have combined together?,How many monsters have a square head?,2
8,1,1,1,1,3,2,55,6,21,How many monsters have circle heads?,Does the red monster have a square head and the purple monster a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(and (== (shape r) Square) (== (shape p) Circle)),How many monsters have a circle head?,Does the red monster have a square head and the purple monster have a circle head?,1
8,1,1,1,1,3,2,49,7,12,How many square heads?,What shape is the red monster's head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(shape r),How many monsters have a square head?,What shape is the red monster's head?,2
8,1,1,1,1,3,2,37,8,12,Do the blue and purple monsters have more than one leg?,Does the purple monster have three legs?,(and (> (legs b) 1) (> (legs p) 1)),(== (legs p) 3),Do the blue monster and the purple monster both have more than one leg?,Does the purple monster have three legs?,2
8,1,1,1,1,3,2,16,9,21,How many monsters have square heads?,Do all the monsters have the same amount of legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),How many monsters have a square head?,Do all the monsters have the same number of legs?,2
