id,trial,AgeGroup,AgeGroup_Split,age_yr,age_mo,age_mo_center,n_attempts_color,n_attempts_head,n_attempts_legs,trial_index,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_standard,question_program,question_abstracted_idealized,EIG,entropy,notes,n_operations,n_unique_operations,same_as_last,sim_to_last_standard,prev_trial_indices_reuse,prev_trial_indices_remixing
3,3,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,what is the (total number of legs possessed by square heads) plus the (total number of legs possessed by the blue and purple monster) divided by the (total number of legs possessed by purple monster)?,NA,NA,NA,NA,3.169925001442312,not in grammar,NA,NA,NA,NA,NA,NA
3,4,Adults,Adults,NA,NA,NA,3,2,3,5,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,how many legs does the blue monster have?,How many legs does the blue monster have?,(legs b),(legs c),1.584962500721156,6.754887502163456,NA,1,1,0,0.7467023730278015,9,9
4,1,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),1.584962500721156,1.584962500721156,NA,1,1,NA,NA,NA,NA
4,2,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the red and blue monster's have the same shape head as the purple monster?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),0.8112781244591328,2,NA,4,4,0,0.46998825669288635,1,1
4,3,Adults,Adults,NA,NA,NA,3,2,3,5,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,do the monster's share the same number of legs?,Do all the monsters have the same number of legs?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),0.5032583347756443,6.754887502163456,NA,4,4,0,0.7602323293685913,"1,2","1,2"
4,4,Adults,Adults,NA,NA,NA,3,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,How many legs does the red monster have?,How many legs does the red monster have?,(legs r),(legs c),1.584962500721156,2.584962500721156,NA,1,1,1,0.7753081917762756,"1,2,5","2,5"
6,1,Adults,Adults,NA,NA,NA,3,2,3,8,p_sq_0,r_sq_0,b_cir_0,1,-1,2,-1,1,-1,How many monsters have 1 or 2 legs?,How many monsters have one or two legs?,(++ (map (lambda x0 (or (== (legs x0) 1) (== (legs x0) 2))) (set b r p))),(++ (map (lambda x0 (or (== (legs x0) n) (== (legs x0) n))) (set b r p))),1.6982458350160314,4.754887502163473,NA,8,6,NA,NA,NA,NA
6,2,Adults,Adults,NA,NA,NA,3,2,3,4,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,how many legs does the blue monster have?,How many legs does the blue monster have?,(legs b),(legs c),1.584962500721156,5.75488750216347,NA,1,1,0,0.834613561630249,8,8
6,3,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,Are the red and purple the same head shape?,Is the red monster's head the same shape as the purple monster's head?,(== (shape r) (shape p)),(== (shape c) (shape c)),1,3.584962500721156,NA,3,2,0,0.5171450972557068,"8,4","8,4"
6,4,Adults,Adults,NA,NA,NA,3,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,Does the red monster have a square head and three legs?,Does the red monster have three legs and a square head?,(and (== (legs r) 3) (== (shape r) Square)),(and (== (legs c) n) (== (shape c) s)),0.6500224216483543,2.584962500721156,NA,5,4,0,0.7638686895370483,"8,4,3","8,4,3"
7,1,Adults,Adults,NA,NA,NA,3,2,3,12,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have circle heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.811278124459133,4.584962500721156,NA,5,5,NA,NA,NA,NA
7,2,Adults,Adults,NA,NA,NA,3,2,3,13,r_0_3,p_sq_0,b_0_0,-1,3,-1,-1,1,-1,Which monster is most similar to the red monster?,NA,NA,NA,NA,5.169925001442311,invalid,NA,NA,NA,NA,NA,NA
7,3,Adults,Adults,NA,NA,NA,3,2,3,7,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have the same number of legs as the purple monster?,How many monsters have the same number of legs as the purple monster?,(++ (map (lambda x0 (== (legs x0) (legs p))) (set b r p))),(++ (map (lambda x0 (== (legs x0) (legs c))) (set b r p))),1.3921472236645345,6.1699250014423175,NA,6,5,0,0.6835408210754395,12,12
7,4,Adults,Adults,NA,NA,NA,3,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,Which monster is most similar to the red monster?,NA,NA,NA,NA,2.584962500721156,ambiguous,NA,NA,NA,NA,NA,NA
9,1,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What is the shape of the red monster's head?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,NA,NA,NA,NA
9,2,Adults,Adults,NA,NA,NA,3,2,3,6,b_0_1,r_0_2,p_0_2,-1,2,-1,1,-1,2,Do all monsters have the same shape head?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),0.8112781244591328,3,NA,4,4,0,0.711654543876648,14,14
9,3,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,How many legs does the red monster have?,How many legs does the red monster have?,(legs r),(legs c),1.584962500721156,3.584962500721156,NA,1,1,0,0.7250092029571533,"14,6","14,6"
9,4,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),1.584962500721156,1.584962500721156,NA,1,1,1,0.5984601974487305,"14,6,3","14,6"
10,1,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have different numbers of legs?,NA,NA,NA,NA,3.169925001442312,ambiguous,NA,NA,NA,NA,NA,NA
10,2,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape is the red monster's head?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,NA,NA,NA,NA
10,3,Adults,Adults,NA,NA,NA,3,2,3,9,b_sq_3,r_cir_0,p_0_0,2,-1,1,3,-1,-1,How many monsters have 3 legs?,How many monsters have three legs?,(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),1.3921472236645345,4.169925001442313,NA,5,5,0,0.5512861013412476,14,14
10,4,Adults,Adults,NA,NA,NA,3,2,3,7,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.811278124459133,6.1699250014423175,NA,5,5,0,0.7185001969337463,"14,9","14,9"
11,1,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,does the purple or blue monster have an even number of legs?,NA,NA,NA,NA,3.169925001442312,ambiguous,NA,NA,NA,NA,NA,NA
11,2,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,does the purple monster have one leg?,Does the purple monster have one leg?,(== (legs p) 1),(== (legs c) n),0.9182958340544896,1.584962500721156,NA,2,2,NA,NA,NA,NA
11,3,Adults,Adults,NA,NA,NA,3,2,3,4,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,does the blue monster have the same head shape as the other two monsters?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),0.9999999999999994,5.75488750216347,NA,4,4,0,0.488633930683136,1,1
11,4,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,do the monsters have different head shapes from eachother,NA,NA,NA,NA,2,ambiguous,NA,NA,NA,NA,NA,NA
12,1,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape head does the red monster have?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,NA,NA,NA,NA
12,2,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do the purple or blue monster have the same amount of legs as the red monster?,NA,NA,NA,NA,3.169925001442312,ambiguous,NA,NA,NA,NA,NA,NA
12,3,Adults,Adults,NA,NA,NA,3,2,3,12,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.811278124459133,4.584962500721156,NA,5,5,0,0.7074099779129028,14,14
12,4,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,Do the blue and purple monsters have the same shape head as the red monster?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),0.8112781244591328,3.584962500721156,NA,4,4,0,0.7841249704360962,"14,12","14,12"
13,1,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the red and blue monsters have the same head shape as the purple monster?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),0.8112781244591328,2,NA,4,4,NA,NA,NA,NA
13,2,Adults,Adults,NA,NA,NA,3,2,3,9,b_sq_3,r_cir_0,p_0_0,2,-1,1,3,-1,-1,Do all of the monsters have a different number of legs?,Do all the monsters have a different number of legs?,(== (setSize (unique (map (lambda x0 (legs x0)) (set b r p)))) 3),(== (setSize (unique (map (lambda x0 (legs x0)) (set b r p)))) n),0.76420450650862,4.169925001442313,NA,6,6,0,0.6760837435722351,2,2
13,3,Adults,Adults,NA,NA,NA,3,2,3,6,b_0_1,r_0_2,p_0_2,-1,2,-1,1,-1,2,How many monsters have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.811278124459133,3,NA,5,5,0,0.7841249704360962,"2,9","2,9"
13,4,Adults,Adults,NA,NA,NA,3,2,3,12,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many legs does the blue monster have?,How many legs does the blue monster have?,(legs b),(legs c),1.584962500721156,4.584962500721156,NA,1,1,0,0.7917441129684448,"2,9,6","2,9,6"
14,1,Adults,Adults,NA,NA,NA,3,2,3,8,p_sq_0,r_sq_0,b_cir_0,1,-1,2,-1,1,-1,"What monster has three legs: Purple, Red, Blue, Multiple, or None?",NA,NA,NA,NA,4.754887502163473,not in grammar,NA,NA,NA,NA,NA,NA
14,2,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape is the Red Monster's head?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,NA,NA,NA,NA
14,3,Adults,Adults,NA,NA,NA,3,2,3,7,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,"What monster, if any, is the only one with their unique head shape?",NA,NA,NA,NA,6.1699250014423175,not in grammar,NA,NA,NA,NA,NA,NA
14,4,Adults,Adults,NA,NA,NA,3,2,3,5,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,"How many legs, if any, occurs the most out of all the monsters?",NA,NA,NA,NA,6.754887502163456,not in grammar,NA,NA,NA,NA,NA,NA
17,1,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,what shape is the monster's head?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,NA,NA,NA,NA
17,2,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,what color is the monster?,NA,NA,NA,NA,2,invalid,NA,NA,NA,NA,NA,NA
17,3,Adults,Adults,NA,NA,NA,3,2,3,7,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,how many legs does the monster have?,NA,NA,NA,NA,6.1699250014423175,ambiguous,NA,NA,NA,NA,NA,NA
17,4,Adults,Adults,NA,NA,NA,3,2,3,13,r_0_3,p_sq_0,b_0_0,-1,3,-1,-1,1,-1,what shape is the monster's head?,NA,NA,NA,NA,5.169925001442311,ambiguous,NA,NA,NA,NA,NA,NA
18,1,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),1.584962500721156,1.584962500721156,NA,1,1,NA,NA,NA,NA
18,2,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What is the shape of the red monster's head?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,0,0.5984601974487305,1,1
18,3,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Is there any monster with more than one leg?,Do any of the monsters have more than one leg?,(any (map (lambda x0 (> (legs x0) 1)) (set b r p))),(any (map (lambda x0 (> (legs x0) n)) (set b r p))),0.5032583347756454,3.169925001442312,NA,5,5,0,0.7638019919395447,"1,14","1,14"
18,4,Adults,Adults,NA,NA,NA,3,2,3,7,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,What shape is the head that appears the most in this group of monsters?,Are there more monsters with square heads or circle heads?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) (++ (map (lambda x0 (== (shape x0) s)) (set b r p)))),1,6.1699250014423175,NA,11,6,0,0.6429533362388611,"1,14,11","1,14,11"
19,1,Adults,Adults,NA,NA,NA,3,2,3,5,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Hoe many monsters have round heads,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.4999999999999998,6.754887502163456,NA,5,5,NA,NA,NA,NA
19,2,Adults,Adults,NA,NA,NA,3,2,3,12,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,NA,NA,NA,NA,NA,4.584962500721156,skipped,NA,NA,NA,NA,NA,NA
19,3,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have square heads,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1,1,NA,5,5,1,NA,5,
19,4,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,How many monsters have round heads,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.5,3.584962500721156,NA,5,5,1,NA,"5,14",
20,1,Adults,Adults,NA,NA,NA,3,2,3,9,b_sq_3,r_cir_0,p_0_0,2,-1,1,3,-1,-1,What is the total number of legs and sides of head shape total for all the monsters?,NA,NA,NA,NA,4.169925001442313,not in grammar,NA,NA,NA,NA,NA,NA
20,2,Adults,Adults,NA,NA,NA,3,2,3,14,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Is the red monster's head a circle or a square?,What shape is the red monster's head?,(shape r),(shape c),1,1,NA,1,1,NA,NA,NA,NA
20,3,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Which monsters have a similar head shape as the purple monster?,NA,NA,NA,NA,2,invalid,NA,NA,NA,NA,NA,NA
20,4,Adults,Adults,NA,NA,NA,3,2,3,5,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many shape sides and legs total are there between the three monsters?,NA,NA,NA,NA,6.754887502163456,not in grammar,NA,NA,NA,NA,NA,NA
21,1,Adults,Adults,NA,NA,NA,3,2,3,8,p_sq_0,r_sq_0,b_cir_0,1,-1,2,-1,1,-1,is the number of legs even or odd?,NA,NA,NA,NA,4.754887502163473,ambiguous,NA,NA,NA,NA,NA,NA
21,2,Adults,Adults,NA,NA,NA,3,2,3,9,b_sq_3,r_cir_0,p_0_0,2,-1,1,3,-1,-1,do any monsters match each other?,NA,NA,NA,NA,4.169925001442313,ambiguous,NA,NA,NA,NA,NA,NA
21,3,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,how many legs are there total?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),2.197159723424149,3.169925001442312,NA,4,4,NA,NA,NA,NA
21,4,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,are the heads and legs all the same?,Do all the monsters have the same number of legs and the same head shape?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),0.4138168503036336,3.584962500721156,NA,9,6,0,0.7976223826408386,11,11
24,1,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,are the red  and blue monsters head the same shape,Is the red monster's head the same shape as the blue monster's head?,(== (shape r) (shape b)),(== (shape c) (shape c)),1,2,NA,3,2,NA,NA,NA,NA
24,2,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,Are the purple and blue monsters head the same shape?,Is the purple monster's head the same shape as the blue monster's head?,(== (shape p) (shape b)),(== (shape c) (shape c)),1,3.584962500721156,NA,3,2,1,NA,2,
24,3,Adults,Adults,NA,NA,NA,3,2,3,12,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Which monsters head is not like the others.,NA,NA,NA,NA,4.584962500721156,invalid,NA,NA,NA,NA,NA,NA
24,4,Adults,Adults,NA,NA,NA,3,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,How many legs does the red monster have.,How many legs does the red monster have?,(legs r),(legs c),1.584962500721156,2.584962500721156,NA,1,1,0,0.610658586025238,"2,3","2,3"
25,1,Adults,Adults,NA,NA,NA,3,2,3,13,r_0_3,p_sq_0,b_0_0,-1,3,-1,-1,1,-1,Are the heads of the red and blue monsters both circles?,Do the red monster and the blue monster both have a circle head?,(and (== (shape r) Circle) (== (shape b) Circle)),(and (== (shape c) s) (== (shape c) s)),0.8112781244591325,5.169925001442311,NA,5,3,NA,NA,NA,NA
25,2,Adults,Adults,NA,NA,NA,3,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,Is the head of the red monster square?,Does the red monster have a square head?,(== (shape r) Square),(== (shape c) s),1,2.584962500721156,NA,2,2,0,0.8043360710144043,13,13
25,3,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),1.584962500721156,1.584962500721156,NA,1,1,0,0.6068264245986938,"13,10","13,10"
25,4,Adults,Adults,NA,NA,NA,3,2,3,9,b_sq_3,r_cir_0,p_0_0,2,-1,1,3,-1,-1,Purple monster head shape?,What shape is the purple monster's head?,(shape p),(shape c),1,4.169925001442313,NA,1,1,0,0.7640000581741333,"13,10,1","13,10,1"
26,1,Adults,Adults,NA,NA,NA,3,2,3,6,b_0_1,r_0_2,p_0_2,-1,2,-1,1,-1,2,do any of the monsters have a circle head?,Do any of the monsters have a circle head?,(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),0.5435644431995964,3,NA,5,5,NA,NA,NA,NA
26,2,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,do any of the monsters have three legs?,Do any of the monsters have three legs?,(any (map (lambda x0 (== (legs x0) 3)) (set b r p))),(any (map (lambda x0 (== (legs x0) n)) (set b r p))),-0,1.584962500721156,NA,5,5,0,0.6785376667976379,6,6
26,3,Adults,Adults,NA,NA,NA,3,2,3,4,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,do any of the monsters have two legs?,Do any of the monsters have two legs?,(any (map (lambda x0 (== (legs x0) 2)) (set b r p))),(any (map (lambda x0 (== (legs x0) n)) (set b r p))),0.8767162889994637,5.75488750216347,NA,5,5,1,0.6802399754524231,"6,1",6
26,4,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,do any of the monsters have a circle head?,Do any of the monsters have a circle head?,(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),0.8112781244591328,3.584962500721156,NA,5,5,1,0.6802399754524231,"6,1,4","1,4"
27,1,Adults,Adults,NA,NA,NA,4,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,Does the purple monster have a square head?,Does the purple monster have a square head?,(== (shape p) Square),(== (shape c) s),1,3.584962500721156,NA,2,2,NA,NA,NA,NA
27,2,Adults,Adults,NA,NA,NA,4,2,3,8,p_sq_0,r_sq_0,b_cir_0,1,-1,2,-1,1,-1,How many legs does the red monster have?,How many legs does the red monster have?,(legs r),(legs c),1.584962500721156,4.754887502163473,NA,1,1,0,0.5875006914138794,3,3
27,3,Adults,Adults,NA,NA,NA,4,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,How many legs does the red monster have?,How many legs does the red monster have?,(legs r),(legs c),1.584962500721156,2.584962500721156,NA,1,1,1,0.5875006914138794,"3,8",3
27,4,Adults,Adults,NA,NA,NA,4,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the red and blue monsters have the same shaped head?,Is the red monster's head the same shape as the blue monster's head?,(== (shape r) (shape b)),(== (shape c) (shape c)),1,2,NA,3,2,0,0.7589731216430664,"3,8,10","3,8,10"
29,1,Adults,Adults,NA,NA,NA,3,2,3,11,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,how many legs does the blue monster have?,How many legs does the blue monster have?,(legs b),(legs c),1.584962500721156,3.169925001442312,NA,1,1,NA,NA,NA,NA
