id,trial,AgeGroup,AgeGroup_Split,age_yr,age_mo,age_mo_center,question_cond,quality_cond,exposure_cond,n_attempts_color,n_attempts_head,n_attempts_legs,exp_answer_response,exp_answer_correct,trial_index,trial_type,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_standard,question_program,question_abstracted_idealized,notes,EIG,entropy,match_head,match_legs,target_match,target_sim_standard,target_dist,same_as_last,sim_to_last_standard,dist_to_last,prev_trial_indices_reuse,prev_trial_indices_remixing
6,3,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,0,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Do any of them have more than one leg?,Do any of the monsters have more than one leg?,(any (map (lambda x0 (> (legs x0) 1)) (set b r p))),(any (map (lambda x0 (> (legs x0) n)) (set b r p))),NA,0.22853814395352817,5.75488750216347,0,0,0,0.6192061901092529,4,1,0.5511674880981445,12,"overcomplex_heads,zero_heads",overcomplex_heads
6,4,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,0,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,1,0,1,1,0,0,0.806182861328125,4,"overcomplex_heads,zero_heads,nonbest_heads","overcomplex_heads,zero_heads,nonbest_heads"
7,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs do the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,NA,NA,NA,NA,NA
7,2,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have a circle head?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6518522500991821,3,0,0.6518522500991821,3,best_legs,best_legs
7,3,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Which monsters have a circle head?,NA,NA,NA,invalid,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many feet does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.7946264743804932,9,"best_legs,nonbest_legs","best_legs,nonbest_legs"
8,1,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs total are in the box?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,0,1,1,1,0,NA,NA,NA,NA,NA
8,2,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many square heads are in the box?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,0,0.6724658012390137,3,overcomplex_legs,overcomplex_legs
8,3,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Are the monsters with two legs the only ones with square heads?,Does the blue monster have a square head and the red monster not have a square head?,(and (== (shape b) Square) (not (== (shape r) Square))),(and (== (shape c) s) (not (== (shape c) s))),rewrite,0.8112781244591328,2,0,0,0,0.5376483798027039,12,0,0.7953050136566162,10,"overcomplex_legs,nonbest_legs","overcomplex_legs,nonbest_legs"
8,4,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many circle heads are in the box?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.4999999999999998,6.754887502163456,1,0,0,0.6518522500991821,3,1,0.6765412092208862,3,"overcomplex_legs,nonbest_legs,zero_legs","overcomplex_legs,zero_legs"
9,1,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do any monsters have a square head?,Do any of the monsters have a square head?,(any (map (lambda x0 (== (shape x0) Square)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.8112781244591324,6.754887502163456,0,0,0,0.5895617008209229,4,NA,NA,NA,NA,NA
9,2,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Is the number of legs of all the monsters an even number?,NA,NA,NA,well-defined but not in grammar,NA,4.584962500721156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.5390610098838806,11,best_legs,best_legs
9,4,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many circle heads are there?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6518522500991821,3,0,0.7824016213417053,1,"best_legs,overcomplex_legs","best_legs,overcomplex_legs"
11,1,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a square head?,Does the red monster have a square head?,(== (shape r) Square),(== (shape c) s),NA,1,1,0,0,0,0.806182861328125,9,NA,NA,NA,NA,NA
11,2,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many total legs are in the box?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,6.1699250014423175,0,1,0,0.6724658012390137,3,0,0.5253543257713318,10,overcomplex_heads,overcomplex_heads
11,3,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many total legs are in the box?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,3.169925001442312,0,1,0,0.6724658012390137,3,1,0.5253543257713318,10,"overcomplex_heads,best_heads",overcomplex_heads
11,4,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Do all of the monsters have round heads?,Do all the monsters have a circle head?,(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(all (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.9999999999999994,5.75488750216347,0,0,0,0.7609058618545532,1,0,0.7108732461929321,4,"overcomplex_heads,best_heads,zero_heads","overcomplex_heads,best_heads,zero_heads"
12,1,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,NA,NA,NA,NA,NA
12,2,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,do all of the monsters have the same shaped head?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591322,4.584962500721156,0,0,0,0.5870043039321899,2,0,0.46998822689056396,9,overcomplex_legs,overcomplex_legs
12,3,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,does the red monster have a circle head?,Does the red monster have a circle head?,(== (shape r) Circle),(== (shape c) s),NA,1,2,0,0,0,0.4926351308822632,10,0,0.7066839933395386,3,"overcomplex_legs,nonbest_legs","overcomplex_legs,nonbest_legs"
12,4,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,how many legs do the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,0,0.7946264743804932,2,"overcomplex_legs,nonbest_legs,zero_legs","overcomplex_legs,nonbest_legs,zero_legs"
13,1,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple one have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,NA,NA,NA,NA,NA
13,2,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many of them have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,0,0.6266854405403137,11,overcomplex_legs,overcomplex_legs
13,3,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many of the guys have two legs?,How many monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160303,6.754887502163456,0,0,0,0.906894326210022,2,0,0.823284387588501,2,"overcomplex_legs,nonbest_legs","overcomplex_legs,nonbest_legs"
13,4,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do all of the guys have matching heads?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591328,2,0,0,0,0.5870043039321899,2,0,0.7841249704360962,3,"overcomplex_legs,nonbest_legs,best_legs","overcomplex_legs,nonbest_legs,best_legs"
15,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Does the purple monster have three legs?,Does the purple monster have three legs?,(== (legs p) 3),(== (legs c) n),NA,0.9182958340544896,1.584962500721156,0,0,0,0.7418643236160278,9,NA,NA,NA,NA,NA
15,2,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,What is the total number of monsters with a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6724658012390137,3,0,0.5735365152359009,11,overcomplex_legs,overcomplex_legs
15,3,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,What is the total number of legs for the three monsters combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,0,0.7418643236160278,3,"overcomplex_legs,zero_legs","overcomplex_legs,zero_legs"
15,4,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,What is the shape of most of the monsters head in the box?,Are there more monsters with square heads or circle heads?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) (++ (map (lambda x0 (== (shape x0) s)) (set b r p)))),rewrite,0.9999999999999998,4.584962500721156,0,0,0,0.5092955827713013,16,0,0.8603293895721436,13,"overcomplex_legs,zero_legs,best_legs","overcomplex_legs,zero_legs,best_legs"
16,1,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,3,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Head shape,NA,NA,NA,invalid,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,3,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Leg number,NA,NA,NA,invalid,NA,5.75488750216347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,3,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,head shape,NA,NA,NA,invalid,NA,6.1699250014423175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,3,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,leg number,NA,NA,NA,invalid,NA,3.169925001442312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many legs do the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,4.584962500721156,0,1,1,1,0,NA,NA,NA,NA,NA
17,2,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does purple have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.7946264743804932,9,nonbest_legs,nonbest_legs
17,3,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,what are the shapes of the red monsters head?,What shape is the red monster's head?,(shape r),(shape c),NA,1.0000000000000009,6.754887502163456,0,0,0,0.5001871585845947,9,0,0.5984600782394409,1,"nonbest_legs,overcomplex_legs","nonbest_legs,overcomplex_legs"
17,4,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Are the monsters head shaped square?,NA,NA,NA,ambiguous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many of the monsters have two legs?,How many monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,0,0,0,0.7383034825325012,2,NA,NA,NA,NA,NA
18,2,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape is the red monster's head?,What shape is the red monster's head?,(shape r),(shape c),NA,1,1,0,0,0,0.7074099779129028,11,0,0.5557699203491211,11,nonbest_heads,nonbest_heads
18,3,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many of the monsters have circle heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,1,0,1,0.8565942645072937,0,0,0.7016270160675049,2,"nonbest_heads,overcomplex_heads","nonbest_heads,overcomplex_heads"
18,4,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs total do the blue and purple monster have?,How many legs do the blue and purple monsters have combined?,(+ (legs b) (legs p)),(+ (legs c) (legs c)),NA,2.197159723424149,3.169925001442312,0,0,0,0.6106730699539185,11,0,0.8043636083602905,4,"nonbest_heads,overcomplex_heads,best_heads","nonbest_heads,overcomplex_heads,best_heads"
19,1,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do most of the monsters have a square head?,Are there more monsters with square heads or circle heads?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) (++ (map (lambda x0 (== (shape x0) s)) (set b r p)))),NA,0.9999999999999998,4.584962500721156,0,0,0,0.5092955827713013,16,NA,NA,NA,NA,NA
19,2,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do all the monsters have a square head?,Do all the monsters have a square head?,(all (map (lambda x0 (== (shape x0) Square)) (set b r p))),(all (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.8112781244591328,2,0,0,0,0.6065196394920349,4,0,0.874468207359314,14,nonbest_legs,nonbest_legs
19,3,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs do all the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,0,1,1,1,0,0,0.6065196394920349,4,"nonbest_legs,zero_legs","nonbest_legs,zero_legs"
19,4,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs do all the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,1,0.6065196394920349,4,"nonbest_legs,zero_legs,overcomplex_legs","nonbest_legs,zero_legs"
21,1,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,NA,NA,NA,NA,NA
21,2,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many monsters have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.4999999999999998,6.754887502163456,1,0,0,0.6724658012390137,3,1,NA,NA,nonbest_legs,
21,3,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have circle heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6518522500991821,3,1,NA,NA,"nonbest_legs,best_legs",
21,4,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.6266854405403137,11,"nonbest_legs,best_legs,zero_legs","nonbest_legs,best_legs,zero_legs"
22,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,3,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have square heads,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,NA,NA,NA,NA,NA
